FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,DifferenceTotal,VotesTotal2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,PercentageDemocratOrRepublican,OnlyRepublicanPERCENTAGE2016,OnlyDemocratPERCENTAGE2016,VotesONLYRepublican2016,VotesONLYDDemocratic2016,,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
1065,"Hale County, Alabama",32.768094,-87.63568,Alabama,County,Atlantic-S,28055,21179,6876,51057.00,55,41,1,-55,0,0.55,0,6876,,18812,0.39,0.58,0,0.01,0.01,0.27,24.5,644,0.4,33315
1067,"Henry County, Alabama",31.493511,-85.25376,Alabama,County,Atlantic-S,59315,27184,32131,90882.00,65,30,1,-65,0,0.65,0,32131,,21924,0.44,0.27,0.01,0.03,0.03,0.14,30.8,562,0.36,39930
1069,"Houston County, Alabama",31.189731,-85.35038,Alabama,County,Atlantic-S,12499,35620,23121,49292.00,25,72,0,72,0.72,0,23121,0,,23316,0.5,0.26,0.01,0.03,0.02,0.18,175.1,580,0.33,40124
1071,"Jackson County, Alabama",34.755318,-85.94846,Alabama,County,Atlantic-S,4056,17693,13637,22284.00,18,79,0,79,0.79,0,13637,0,,20486,0.38,0.03,0.01,0.03,0.02,0.16,49.4,1078,0.32,36923
1073,"Jefferson County, Alabama",33.527872,-86.82805,Alabama,County,Atlantic-S,157566,136198,21368,302233.00,52,45,1,-52,0,0.52,0,21368,,26906,0.61,0.43,0.01,0.04,0.04,0.18,592.7,1111,0.33,44852
1075,"Lamar County, Alabama",33.772995,-88.0847,Alabama,County,Atlantic-S,1950,7172,5222,9305.00,21,77,0,77,0.77,0,5222,0,,19026,0.4,0.11,0,0.01,0.01,0.22,24.1,605,0.34,34553
1077,"Lauderdale County, Alabama",34.87689,-87.6057,Alabama,County,Atlantic-S,9952,27899,17947,39060.00,26,71,0,71,0.71,0,17947,0,,23510,0.5,0.1,0.01,0.02,0.02,0.17,138.8,668,0.33,41324
1079,"Lawrence County, Alabama",34.554375,-87.30218,Alabama,County,Atlantic-S,3627,10833,7206,14741.00,25,73,0,73,0.73,0,7206,0,,20181,0.39,0.11,0,0.02,0.01,0.18,49.7,691,0.36,41574
1081,"Lee County, Alabama",32.607485,-85.32894,Alabama,County,Atlantic-S,21230,34617,13387,58241.00,37,59,0,59,0.59,0,13387,0,,23506,0.62,0.23,0.03,0.04,0.05,0.22,230.7,608,0.29,41256
1083,"Limestone County, Alabama",34.807445,-86.97494,Alabama,County,Atlantic-S,9468,29067,19599,39792.00,24,73,0,73,0.73,0,19599,0,,25020,0.51,0.13,0.01,0.05,0.04,0.15,147.8,560,0.33,51175
1085,"Lowndes County, Alabama",32.17128,-86.65991,Alabama,County,Atlantic-S,4883,1751,3132,6677.00,73,26,1,-73,0,0.73,0,3132,,18368,0.39,0.73,0,0.01,0,0.27,15.8,716,0.45,30675
1087,"Macon County, Alabama",32.421555,-85.72115,Alabama,County,Atlantic-S,7566,1431,6135,9115.00,83,16,1,-83,0,0.83,0,6135,,16826,0.51,0.81,0,0.02,0.01,0.27,35.2,609,0.45,28518
1089,"Madison County, Alabama",34.73079,-86.58822,Alabama,County,Atlantic-S,62822,89520,26698,160217.00,39,56,0,56,0.56,0,26698,0,,31933,0.69,0.25,0.02,0.04,0.05,0.13,417.5,802,0.32,58833
